"","label_name","GPSLongitude","GPSLatitude"
"186","Rock",-65.808716090396,-45.018700864166
"187","Rock",-65.8086778689176,-45.0186754669994
"188","Rock",-65.8086088858545,-45.0186245050281
"189","Rock",-65.8084525633603,-45.0184800010175
"190","Rock",-65.8072454854846,-45.0173701532185
"191","Rock",-65.8064154256135,-45.0179562997073
"192","Rock",-65.8065093867481,-45.0180313177407
"193","Rock",-65.8064154256135,-45.0179562997073
"194","Rock",-65.8064443431795,-45.01798203215
"195","Rock",-65.8069920167327,-45.018536997959
"196","Rock",-65.8071600738913,-45.0188127625734
"197","Rock",-65.8072001393884,-45.0188737828285
"198","Fine sand (no shell fragments)",-65.8072206750512,-45.0189020298421
"199","Rock",-65.8072387799621,-45.0189297739416
"200","Rock",-65.8073008060455,-45.0190150178969
"201","Rock",-65.8073235210031,-45.0190398283303
"202","Rock",-65.8074168954045,-45.019118450582
"203","Rock",-65.8074453938752,-45.0191467814147
"204","Coarse sand (with shell fragments)",-65.8075331524014,-45.0192249845713
"205","Coarse sand (with shell fragments)",-65.8075989503413,-45.0192762818187
"206","Rock",-65.8077166322619,-45.0193465221673
"207","Rock",-65.8078916464001,-45.0194669701159
"208","Rock",-65.8079611323774,-45.0195166748017
"209","Rock",-65.8080269303173,-45.0195683073252
"210","Rock",-65.8080954942852,-45.0196143239737
"211","Rock",-65.8081678301096,-45.0196621008217
"212","Rock",-65.8082333765924,-45.019707614556
"213","Rock",-65.8082653116435,-45.0197313353419
"214","Rock",-65.8084062952548,-45.0198206864297
"215","Rock",-65.8084443490952,-45.0198427308351
"216","Rock",-65.8085228875279,-45.0198892503977
"217","Rock",-65.8085228875279,-45.0198892503977
"218","Rock",-65.8085594326258,-45.0199093669653
"219","Coarse sand (with shell fragments)",-65.808676360175,-45.0199779309332
"220","Coarse sand (with shell fragments)",-65.8087495341897,-45.0200251210481
"221","Coarse sand (with shell fragments)",-65.808813655749,-45.0200730655342
"222","Coarse sand (with shell fragments)",-65.808874676004,-45.0201198365539
"223","Coarse sand (with shell fragments)",-65.8089566510171,-45.0201769173145
"224","Coarse sand (with shell fragments)",-65.8090361114591,-45.0202215090394
"225","Coarse sand (with shell fragments)",-65.8091061841697,-45.0202712137252
"226","Coarse sand (with shell fragments)",-65.8092169929296,-45.0203500874341
"227","Coarse sand (with shell fragments)",-65.8092773426324,-45.0204056594521
"228","Coarse sand (with shell fragments)",-65.8093471638858,-45.020463578403
"229","Coarse sand (with shell fragments)",-65.8094306476414,-45.0205488223583
"230","Coarse sand (with shell fragments)",-65.8094890695065,-45.0206070765853
"231","Coarse sand (with shell fragments)",-65.8095889817923,-45.0206950027496
"232","Coarse sand (with shell fragments)",-65.8096873853356,-45.0207698531449
"233","Coarse sand (with shell fragments)",-65.8098583761603,-45.0208674184978
"234","Coarse sand (with shell fragments)",-65.8099768962711,-45.0209452863783
"235","Coarse sand (with shell fragments)",-65.8100496511906,-45.0209951587021
"236","Coarse sand (with shell fragments)",-65.8100853580981,-45.0210192147642
"237","Coarse sand (with shell fragments)",-65.8101646509022,-45.0210622977465
"238","Coarse sand (with shell fragments)",-65.8102324604988,-45.0211108289659
"239","Coarse sand (with shell fragments)",-65.8103637211025,-45.0212110765278
"240","Coarse sand (with shell fragments)",-65.8104626275599,-45.0212870165706
"241","Coarse sand (with shell fragments)",-65.8105618692935,-45.0213605258614
"242","Coarse sand (with shell fragments)",-65.8106674812734,-45.0214306823909
"243","Coarse sand (with shell fragments)",-65.8108134102076,-45.021526068449
"244","Coarse sand (with shell fragments)",-65.8111992292106,-45.0216857437044
"245","Coarse sand (with shell fragments)",-65.8114161528647,-45.0217656232417
"246","Coarse sand (with shell fragments)",-65.8110156655312,-45.021629165858
"247","Coarse sand (with shell fragments)",-65.8116149716079,-45.0218838080764
"248","Coarse sand (with shell fragments)",-65.8118678536266,-45.0220720656216
"249","Coarse sand (with shell fragments)",-65.8121767267585,-45.022250097245
"250","Coarse sand (with shell fragments)",-65.8124285191298,-45.0224172323942
"251","Coarse sand (with shell fragments)",-65.8126275893301,-45.0225270353258
"252","Coarse sand (with shell fragments)",-65.8129264041781,-45.0226647499949
"253","Coarse sand (with shell fragments)",-65.8131450880319,-45.022752340883
"254","Coarse sand (with shell fragments)",-65.8133865706623,-45.0228725373745
"255","Coarse sand (with shell fragments)",-65.8137753233314,-45.0230346433818
"256","Coarse sand (with shell fragments)",-65.8140302170068,-45.0231388304383
"257","Coarse sand (with shell fragments)",-65.8142859488726,-45.0232530757785
"258","Coarse sand (with shell fragments)",-65.8145985938609,-45.0234119128436
"259","Fine sand (no shell fragments)",-65.8073512651026,-45.0190642196685
"260","Rock",-65.8075331524014,-45.0192249845713
"261","Rock",-65.8076374232769,-45.0192999187857
"262","Rock",-65.8078587893397,-45.0194426625967
"263","Rock",-65.808338066563,-45.0197753403336
"264","Rock",-65.806704768911,-45.0182173121721
"265","Fine sand (no shell fragments)",-65.8072601538152,-45.0189596135169
"266","Rock",-65.8070626761764,-45.0186551827937
"267","Rock",-65.8071158174425,-45.0187523290515
"268","Rock",-65.8070454094559,-45.0186229962856
"269","Rock",-65.8066260628402,-45.0181356724352
"270","Rock",-65.8063337858766,-45.0178961176425
"271","Rock",-65.8065711613744,-45.0180787593126
"272","Rock",-65.8068146556616,-45.0183248519897
"273","Rock",-65.8085954748094,-45.0199325848371
"274","Rock",-65.8069345168769,-45.018455022946
"275","Coarse sand (with shell fragments)",-65.8119836915284,-45.0229703541845
"276","Rock",-65.8072682004422,-45.0201263744384
"277","Coarse sand (with shell fragments)",-65.80730474554,-45.0201529450715
"278","Coarse sand (with shell fragments)",-65.8102913014591,-45.0218185968697
"279","Gravel (2-10mm)",-65.8057662472129,-45.0190902035683
"280","Coarse sand (with shell fragments)",-65.8120454661548,-45.023090550676
"281","Coarse sand (with shell fragments)",-65.8089573215693,-45.0210533291101
"282","Coarse sand (with shell fragments)",-65.8111307490617,-45.0223560445011
"283","Coarse sand (with shell fragments)",-65.8108890149742,-45.0222254544497
"284","Coarse sand (with shell fragments)",-65.8105452731252,-45.0220010709018
"285","Coarse sand (with shell fragments)",-65.8115423843265,-45.0226269476116
"286","Coarse sand (with shell fragments)",-65.811773724854,-45.0227722059935
"287","Coarse sand (with shell fragments)",-65.8065445069224,-45.0196663755924
"288","Rock",-65.8064812235534,-45.0196060258895
"289","Coarse sand (with shell fragments)",-65.8113941084594,-45.0225270353258
"290","Coarse sand (with shell fragments)",-65.807145992294,-45.0200541224331
"291","Coarse sand (with shell fragments)",-65.8070651907474,-45.020006513223
"292","Coarse sand (with shell fragments)",-65.8069843053818,-45.0199625082314
"293","Coarse sand (with shell fragments)",-65.8068709820509,-45.0198910105973
"294","Coarse sand (with shell fragments)",-65.8067957963794,-45.0198437366635
"295","Coarse sand (with shell fragments)",-65.8066846523434,-45.0197680480778
"296","Coarse sand (with shell fragments)",-65.8066093828529,-45.0197193492204
"297","Rock",-65.8065108116716,-45.0196365360171
"298","Rock",-65.8064448460937,-45.0195826403797
"299","Rock",-65.8064448460937,-45.0195826403797
