video_annotation_label_id,label_id,label_name,label_hierarchy,user_id,firstname,lastname,video_id,video_filename,shape_id,shape_name,points,frames,annotation_id,created_at
321128,149242,"Gravel (2-10mm)","Physical > Substrate > Unconsolidated (soft) > Pebble / gravel > Gravel (2-10mm)",508,Gonzalo,Bravo,4981,www.biigle.proyectosub.org/0496_GT.MP4,1,Point,"[[1047.98,526.49]]",[299.801135],274096,"2021-03-23 19:27:04"
321129,149486,Gracilaria,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria",508,Gonzalo,Bravo,4981,www.biigle.proyectosub.org/0496_GT.MP4,1,Point,"[[564.58,653.08]]",[301.111836],274097,"2021-03-23 19:27:12"
321130,149486,Gracilaria,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria",508,Gonzalo,Bravo,4981,www.biigle.proyectosub.org/0496_GT.MP4,1,Point,"[[996.71,555.23]]",[303.902338],274098,"2021-03-23 19:27:19"
321131,149486,Gracilaria,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria",508,Gonzalo,Bravo,4981,www.biigle.proyectosub.org/0496_GT.MP4,1,Point,"[[111.98,494.98]]",[304.996464],274099,"2021-03-23 19:27:23"
321132,149486,Gracilaria,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria",508,Gonzalo,Bravo,4981,www.biigle.proyectosub.org/0496_GT.MP4,1,Point,"[[492.45,802.22]]",[301.24112],274100,"2021-03-23 19:27:47"
321133,149486,Gracilaria,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria",508,Gonzalo,Bravo,4981,www.biigle.proyectosub.org/0496_GT.MP4,1,Point,"[[675.67,805.71]]",[304.071563],274101,"2021-03-23 19:27:56"
321134,149486,Gracilaria,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria",508,Gonzalo,Bravo,4981,www.biigle.proyectosub.org/0496_GT.MP4,1,Point,"[[1027.43,764.92]]",[304.071563],274102,"2021-03-23 19:27:58"
321135,149486,Gracilaria,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria",508,Gonzalo,Bravo,4981,www.biigle.proyectosub.org/0496_GT.MP4,1,Point,"[[794.32,657.36]]",[308.769191],274103,"2021-03-23 19:28:06"
321136,149486,Gracilaria,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria",508,Gonzalo,Bravo,4981,www.biigle.proyectosub.org/0496_GT.MP4,1,Point,"[[1274.67,650.44]]",[308.769191],274104,"2021-03-23 19:28:09"
321137,149486,Gracilaria,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria",508,Gonzalo,Bravo,4981,www.biigle.proyectosub.org/0496_GT.MP4,1,Point,"[[659.36,553.39]]",[310.767357],274105,"2021-03-23 19:28:31"
321138,149486,Gracilaria,"Biota > Macroalgae > Erect fine branching > Red > Gracilaria",508,Gonzalo,Bravo,4981,www.biigle.proyectosub.org/0496_GT.MP4,1,Point,"[[1023.8,583.74]]",[310.767357],274106,"2021-03-23 19:28:33"
321139,149242,"Gravel (2-10mm)","Physical > Substrate > Unconsolidated (soft) > Pebble / gravel > Gravel (2-10mm)",508,Gonzalo,Bravo,4981,www.biigle.proyectosub.org/0496_GT.MP4,1,Point,"[[1014.58,827.1]]",[317.194014],274107,"2021-03-23 19:28:44"
