video_annotation_label_id,label_id,label_name,label_hierarchy,user_id,firstname,lastname,video_id,video_name,shape_id,shape_name,points,frames,video_annotation_id
135600,149459,"Carcinus maenas","Biota > Crustacea > Crabs > True crabs > Carcinus maenas",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[1146.99,632.8]]",[411.019291],101050
135601,149460,"Leurocyclus tuberculosus","Biota > Crustacea > Crabs > True crabs > Leurocyclus tuberculosus",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[276.12,384.43]]",[423.374161],101051
135609,149387,"True crabs","Biota > Crustacea > Crabs > True crabs",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[346.8,815.09]]",[487.060084],101059
135610,149460,"Leurocyclus tuberculosus","Biota > Crustacea > Crabs > True crabs > Leurocyclus tuberculosus",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[59.75,314.41]]",[471.879482],101060
135611,149460,"Leurocyclus tuberculosus","Biota > Crustacea > Crabs > True crabs > Leurocyclus tuberculosus",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[51.11,522.23]]",[491.141147],101061
135612,149460,"Leurocyclus tuberculosus","Biota > Crustacea > Crabs > True crabs > Leurocyclus tuberculosus",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[1817.31,583.68]]",[501.816315],101062
135613,149460,"Leurocyclus tuberculosus","Biota > Crustacea > Crabs > True crabs > Leurocyclus tuberculosus",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[61.43,178.41]]",[507.087446],101063
135614,149460,"Leurocyclus tuberculosus","Biota > Crustacea > Crabs > True crabs > Leurocyclus tuberculosus",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[266.06,252]]",[507.087446],101064
135615,149460,"Leurocyclus tuberculosus","Biota > Crustacea > Crabs > True crabs > Leurocyclus tuberculosus",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[26.26,209.03]]",[508.663369],101065
135616,149460,"Leurocyclus tuberculosus","Biota > Crustacea > Crabs > True crabs > Leurocyclus tuberculosus",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[31.93,113.02]]",[509.566724],101066
135617,149462,"Peltarion spinulosum","Biota > Crustacea > Crabs > True crabs > Peltarion spinulosum",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[359.45,366.73]]",[524.158642],101067
135618,149239,Gastropods,"Biota > Molluscs > Gastropods",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[1885.67,190.15]]",[533.927522],101068
135619,149460,"Leurocyclus tuberculosus","Biota > Crustacea > Crabs > True crabs > Leurocyclus tuberculosus",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[1894.63,55.91]]",[538.718948],101069
135620,149460,"Leurocyclus tuberculosus","Biota > Crustacea > Crabs > True crabs > Leurocyclus tuberculosus",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[1339.39,291.49]]",[542.363334],101070
135621,149460,"Leurocyclus tuberculosus","Biota > Crustacea > Crabs > True crabs > Leurocyclus tuberculosus",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[83.07,400.24]]",[543.002173],101071
135622,149460,"Leurocyclus tuberculosus","Biota > Crustacea > Crabs > True crabs > Leurocyclus tuberculosus",508,Gonzalo,Bravo,1874,0001_GB,1,Point,"[[1113.99,419.17]]",[550.727352],101072
